hanzi,tian_level,hsk_level,pinyin,primary_reading,simple_meaning,meaning,meaning_mnemonic,reading_mnemonic,components,in_names
服,44,1,fú;fù,fú,,,,,月 卩 又,false
爸,44,1,bà,bà,,,,,父 丨 乚,false
话,44,1,huà,huà,,,,,讠 舌,false
贵,44,1,guì,guì,,,,,口 丨 一 贝,false
爷,44,2,yé,yé,,,,,父 ㇆ 丨,false
考,44,2,kǎo,kǎo,,,,,耂 一 ㇉,false
刮,44,3,guā,guā,,,,,舌 刂,false
员,44,3,yuán,yuán,,,,,口 贝,false
惯,44,3,guàn,guàn,,,,,忄 囗 十 贝,false
报,44,3,bào,bào,,,,,扌 卩 又,false
活,44,3,huó,huó,,,,,氵 舌,false
脚,44,3,jiǎo;jué,jiǎo,,,,,月 土 厶 卩,false
赛,44,3,sài,sài,,,,,宀 二 一 八 贝,false
迎,44,3,yíng,yíng,,,,,辶 ㇒ ㇗ 卩,false
适,44,3,kuò;shì,kuò,,,,,辶 舌,true
漂,46,1,piāo;piǎo;piào,piāo,,,,,氵 覀 示,false
系,46,1,xì;jì,xì,,,,,㇒ 糸,false
最,46,2,zuì,zuì,,,,,曰 耳 又,false
票,46,2,piào,piào,,,,,覀 示,false
累,46,2,lěi;lèi;léi,lěi,,,,,田 糸,true
虽,46,2,suī,suī,,,,,口 虫,false
裤,46,2,kù,kù,,,,,衤 广 车,false
初,46,3,chū,chū,,,,,衤 刀,false
耳,46,3,ěr,ěr,,,,,耳,false
聪,46,3,cōng,cōng,,,,,耳 丷 口 心,false
衫,46,3,shān,shān,,,,,衤 彡,false
衬,46,3,chèn,chèn,,,,,衤 寸,false
趣,46,3,qù,qù,,,,,走 耳 又,false
闻,46,3,wén,wén,,,,,门 耳,true
医,47,1,yī,yī,,,,,匚 矢,false
常,47,1,cháng,cháng,,,,,⺌ 冖 口 巾,true
谢,47,1,xiè,xiè,,,,,讠 身 寸,true
非,47,1,fēi,fēi,,,,,非,true
鸡,47,1,jī,jī,,,,,又 鸟,false
啡,47,2,fēi,fēi,,,,,口 非,false
身,47,2,shēn,shēn,,,,,身,false
鸟,47,2,diǎo;niǎo,diǎo,,,,,鸟,false
区,47,3,qū,qū,,,,,匚 乂,true
尝,47,3,cháng,cháng,,,,,⺌ 冖 二 厶,false
当,47,3,dāng;dàng,dāng,,,,,⺌ 彐,false
越,47,3,yuè,yuè,,,,,走 匚 戈,true
房,49,1,fáng,fáng,,,,,户 方,true
期,49,1,qī,qī,,,,,甘 一 八 月,false
水,49,1,shuǐ,shuǐ,,,,,水,true
球,49,2,qiú,qiú,,,,,王 𠂇 丶 氺,false
绿,49,2,lǜ,lǜ,,,,,纟 彐 氺,false
颜,49,2,yán,yán,,,,,立 厂 彡 页,true
其,49,3,qí,qí,,,,,甘 一 八,false
冰,49,3,bīng,bīng,,,,,冫 水,false
历,49,3,lì,lì,,,,,厂 力,false
感,49,3,gǎn,gǎn,,,,,厂 戈 一 口 心,false
愿,49,3,yuàn,yuàn,,,,,厂 白 小 心,false
护,49,3,hù,hù,,,,,扌 户,false
求,49,3,qiú,qiú,,,,,𠂇 丶 氺,false
泉,49,3,quán,quán,,,,,白 水,false
甜,49,3,tián,tián,,,,,舌 甘,false
空,49,3,kōng;kòng,kōng,,,,,穴 工,false
遍,49,3,biàn,biàn,,,,,辶 户 冂 艹,false
顾,49,3,gù,gù,,,,,厂 乚 ㇆ 页,true
出,50,1,chū,chū,,,,,出,false
吃,50,1,chī,chī,,,,,口 丿 一 ㇠,false
唱,50,1,chàng,chàng,,,,,口 昌,false
回,50,1,huí,huí,,,,,回,false
多,50,1,duō,duō,,,,,多,false
岁,50,1,suì,suì,,,,,山 夕,false
开,50,1,kāi,kāi,,,,,一 廾,false
气,50,1,qì,qì,,,,,气,false
穿,50,1,chuān,chuān,,,,,穴 牙,false
蛋,50,1,dàn,dàn,,,,,疋 虫,true
视,50,1,shì,shì,,,,,礻 见,false
钱,50,1,qián,qián,,,,,钅 戋,true
山,50,3,shān,shān,,,,,山,true
汽,50,3,qì,qì,,,,,氵 气,false
牙,50,3,yá,yá,,,,,牙,false
礼,50,3,lǐ,lǐ,,,,,礻 乚,true
国,51,1,guó,guó,,,,,囗 玉,true
家,51,1,jiā,jiā,,,,,宀 豕,false
朋,51,1,péng,péng,,,,,朋,false
班,51,1,bān,bān,,,,,玨 丿 丶,true
老,51,1,lǎo,lǎo,,,,,老,false
衣,51,1,yī;yì,yī,,,,,衣,false
西,51,1,xī,xī,,,,,西,true
面,51,1,miàn,miàn,,,,,面,false
旅,51,2,lǚ,lǚ,,,,,方 丿 一 氏,false
然,51,2,rán,rán,,,,,月 犬 灬,false
篮,51,2,lán,lán,,,,,⺮ 丨 丿 一 丶 皿,false
婚,51,3,hūn,hūn,,,,,女 氏 日,false
突,51,3,tū,tū,,,,,穴 犬,false
纸,51,3,zhǐ,zhǐ,,,,,纟 氏,false
蓝,51,3,lán,lán,,,,,艹 丨 丿 一 丶 皿,true
看,53,1,kān;kàn,kān,,,,,龵 目,false
道,53,1,dào,dào,,,,,辶 首,false
飞,53,1,fēi,fēi,,,,,飞,false
高,53,1,gāo,gāo,,,,,高,true
意,53,2,yì,yì,,,,,音 心,true
每,53,2,měi,měi,,,,,丿 一 母,false
留,53,2,liú,liú,,,,,卯 田,false
久,53,3,jiǔ,jiǔ,,,,,勹 ㇏,false
境,53,3,jìng,jìng,,,,,土 音 儿,false
极,53,3,jí,jí,,,,,木 ㇎ 丿 ㇏,false
海,53,3,hǎi,hǎi,,,,,氵 丿 一 母,true
级,53,3,jí,jí,,,,,纟 ㇎ 丿 ㇏,false
聊,53,3,liáo,liáo,,,,,耳 卯,false
迟,53,3,chí,chí,,,,,辶 尸 ㇏,true
音,53,3,yīn,yīn,,,,,音,false
离,54,2,lí,lí,,,,,亠 凵 乂 禸,true
笔,54,2,bǐ,bǐ,,,,,⺮ 毛,false
表,54,2,biǎo,biǎo,,,,,龶 ㇒ ㇗,false
长,54,2,cháng;zhǎng,cháng,,,,,长,false
鱼,54,2,yú,yú,,,,,鱼,true
张,54,3,zhāng,zhāng,,,,,弓 长,true
搬,54,3,bān,bān,,,,,扌 舟 殳,false
毛,54,3,máo,máo,,,,,毛,true
盘,54,3,pán,pán,,,,,舟 皿,false
绩,54,3,jì,jì,,,,,纟 龶 贝,false
般,54,3,bān;pán,bān,,,,,舟 殳,false
船,54,3,chuán,chuán,,,,,舟 几 口,false
遇,54,3,yù,yù,,,,,辶 冂 二 丨 禸,true
鲜,54,3,xiǎn;xiān,xiǎn,,,,,鱼 羊,false
就,55,2,jiù,jiù,,,,,亠 口 小 尢 丶,false
已,55,2,yǐ,yǐ,,,,,已,false
慢,55,2,màn,màn,,,,,忄 日 罒 又,false
所,55,2,suǒ,suǒ,,,,,戶 斤,false
比,55,2,bī;bǐ,bī,,,,,比,true
网,55,2,wǎng,wǎng,,,,,网,false
肉,55,2,ròu,ròu,,,,,肉,false
试,55,2,shì,shì,,,,,讠 弋 工,false
馆,55,2,guǎn,guǎn,,,,,饣 宀 㠯,false
净,55,3,jìng,jìng,,,,,冫 ⺈ ⺕ 亅,false
封,55,3,fēng,fēng,,,,,圭 寸,true
矿,55,3,kuàng,kuàng,,,,,石 广,false
码,55,3,mǎ,mǎ,,,,,石 马,false
碗,55,3,wǎn,wǎn,,,,,石 宀 夕 乚 ㇆,false
裙,55,3,qún,qún,,,,,衤 ⺕ 丨 口,false
静,55,3,jìng,jìng,,,,,青 ⺈ ⺕ 亅,false
舞,57,2,wǔ,wǔ,,,,,舛,false
色,57,2,sè;shǎi,sè,,,,,色,false
足,57,2,jù;zú,jù,,,,,足,false
酒,57,2,jiǔ,jiǔ,,,,,氵 酉,false
黑,57,2,hēi,hēi,,,,,黑,true
信,57,3,xìn,xìn,,,,,亻 言,false
嘴,57,3,zuǐ,zuǐ,,,,,口 止 匕 角,false
挺,57,3,tǐng,tǐng,,,,,扌 廴 ㇒ 士,false
而,57,3,ér,ér,,,,,而,false
行,57,3,háng;xíng,háng,,,,,行,false
街,57,3,jiē,jiē,,,,,行 圭,false
角,57,3,jiǎo;jué,jiǎo,,,,,角,true
解,57,3,jiě;jiè;xiè,jiě,,,,,角 刀 牛,true
言,57,3,yán,yán,,,,,言,false
需,57,3,xū,xū,,,,,雨 而,false
世,58,3,shì,shì,,,,,㇗ 廿,true
北,58,3,běi,běi,,,,,北,false
双,58,3,shuāng,shuāng,,,,,双,true
哭,58,3,kū,kū,,,,,吅 犬,false
宾,58,3,bīn,bīn,,,,,宀 兵,false
带,58,3,dài,dài,,,,,川 一 冖 巾,false
料,58,3,liào,liào,,,,,米 斗,false
楚,58,3,chǔ,chǔ,,,,,林 疋,true
概,58,3,gài,gài,,,,,木 丨 彐 乚 丶 旡,false
澡,58,3,zǎo,zǎo,,,,,氵 品 木,false
爬,58,3,pá,pá,,,,,爪 丨 乚,false
片,58,3,piān;piàn,piān,,,,,片,false
瓜,58,3,guā,guā,,,,,瓜,false
瓶,58,3,píng,píng,,,,,丷 一 廾 瓦,false
用,58,3,yòng,yòng,,,,,用,false
健,60,3,jiàn,jiàn,,,,,亻 廴 聿,false
容,60,3,róng,róng,,,,,宀 谷,true
康,60,3,kāng,kāng,,,,,广 隶,true
瘦,60,3,shòu,shòu,,,,,疒 臼 丨 又,false
短,60,3,duǎn,duǎn,,,,,矢 豆,false
羽,60,3,yǔ,yǔ,,,,,羽,false
被,60,3,bèi,bèi,,,,,衤 皮,false
鞋,60,3,xié,xié,,,,,革 圭,false
风,60,3,fēng,fēng,,,,,风,false
香,60,3,xiāng,xiāng,,,,,香,false
